Date,Time,Open,High,Low,Close,EMA,Super Trend UP,Super Trend DN,EMA 100
19-Mar-26,11.55,139.45,139.51,139.21,139.5,143.2288923462839,,140.2499309063375,143.2288923462839
19-Mar-26,12.00,139.54,139.57,139.4,139.49,143.22142203190572,,140.2499309063375,143.22142203190572
19-Mar-26,12.05,139.42,139.6,139.4,139.41,143.21380680307075,,140.2499309063375,143.21380680307075
19-Mar-26,12.10,139.41,139.51,139.41,139.51,143.206406589678,,140.238084167648,143.206406589678
19-Mar-26,12.15,139.52,139.6,139.42,139.5,143.19900118190645,,140.238084167648,143.19900118190645
19-Mar-26,12.20,139.49,139.49,139.41,139.45,143.19151067005447,,140.1558481757949,143.19151067005447
19-Mar-26,12.25,139.41,139.41,139.3,139.39,143.18391524414028,,140.03526335821542,143.18391524414028
19-Mar-26,12.30,139.4,139.4,139.31,139.32,143.17619513376238,,139.9942370223939,143.17619513376238
19-Mar-26,12.35,139.4,139.45,139.34,139.43,143.16871022840022,,139.9942370223939,143.16871022840022
19-Mar-26,12.40,139.43,139.45,139.28,139.28,143.16094057759423,,139.96888198813903,143.16094057759423
19-Mar-26,12.45,139.41,139.44,139.3,139.43,143.15348615086577,,139.96149378932512,143.15348615086577
19-Mar-26,12.50,139.5,139.5,139.34,139.45,143.14608657813676,,139.96149378932512,143.14608657813676
19-Mar-26,12.55,139.41,139.49,139.37,139.38,143.138561929629,,139.96149378932512,143.138561929629
19-Mar-26,13.00,139.35,139.57,139.35,139.49,143.13127209560375,,139.96149378932512,143.13127209560375
19-Mar-26,13.05,139.4,139.5,139.4,139.48,143.1239768466615,,139.96149378932512,143.1239768466615
19-Mar-26,13.10,139.33,139.49,139.26,139.26,143.11625661320164,,139.9314679676586,143.11625661320164
19-Mar-26,13.15,139.26,139.31,139.01,139.16,143.10835200458385,,139.75082117089275,143.10835200458385
19-Mar-26,13.20,139.16,139.16,139.01,139.1,143.10034330927,,139.66173905380344,143.10034330927
19-Mar-26,13.25,139.04,139.24,139.01,139.01,143.09217079516554,,139.66173905380344,143.09217079516554
19-Mar-26,13.30,139.1,139.21,139.01,139.08,143.08415446990048,,139.66173905380344,143.08415446990048
19-Mar-26,13.35,139.09,139.09,138.75,138.75,143.07549482060998,,139.55233277022276,143.07549482060998
19-Mar-26,13.40,138.78,139.46,138.7,138.9,143.06715217361574,,139.55233277022276,143.06715217361574
19-Mar-26,13.45,139.05,139.12,138.66,138.78,143.05858643500713,,139.55233277022276,143.05858643500713
19-Mar-26,13.50,138.87,139.15,138.68,139.15,143.05077707150062,,139.55233277022276,143.05077707150062
19-Mar-26,13.55,139.15,139.21,138.95,139.09,143.04286343099812,,139.55233277022276,143.04286343099812
19-Mar-26,14.00,139.12,139.29,138.66,138.78,143.03434622134577,,139.55233277022276,143.03434622134577
19-Mar-26,14.05,138.68,138.85,138.66,138.66,143.02560626885557,,139.55233277022276,143.02560626885557
19-Mar-26,14.10,138.65,138.73,138.41,138.41,143.0163842783084,,139.52486107176594,143.0163842783084
19-Mar-26,14.15,138.4,138.75,138.4,138.55,143.0074604335965,,139.52486107176594,143.0074604335965
19-Mar-26,14.20,138.48,138.59,138.23,138.28,142.9980149582047,,139.3859374681304,142.9980149582047
19-Mar-26,14.25,138.21,138.39,138.1,138.26,142.98854839485165,,139.21034372131737,142.98854839485165
19-Mar-26,14.30,138.33,138.48,138.27,138.45,142.9794803660907,,139.21034372131737,142.9794803660907
19-Mar-26,14.35,138.45,138.74,138.21,138.42,142.97037051520942,,139.21034372131737,142.97037051520942
19-Mar-26,14.40,138.42,138.47,138.14,138.31,142.9610590856086,,139.21034372131737,142.9610590856086
19-Mar-26,14.45,138.32,138.37,138.12,138.14,142.95142659992308,,139.21034372131737,142.95142659992308
19-Mar-26,14.50,138.14,138.14,137.5,137.5,142.94053463868448,,138.8889294140007,142.94053463868448
19-Mar-26,14.55,137.5,137.62,137.1,137.2,142.9290650390068,,138.47803647260065,142.9290650390068
19-Mar-26,15.00,137.15,137.2,136.53,136.6,142.91641955441338,,138.07223282534056,142.91641955441338
19-Mar-26,15.05,136.66,136.66,136.1,136.19,142.90298015470427,,137.6345095428065,142.90298015470427
19-Mar-26,15.10,136.2,136.71,136.19,136.59,142.89036680774183,,137.6345095428065,142.89036680774183
19-Mar-26,15.15,136.65,136.86,136.5,136.62,142.87783860233176,,137.6345095428065,142.87783860233176
19-Mar-26,15.20,136.79,137.64,136.79,137.45,142.86699376995946,,137.6345095428065,142.86699376995946
19-Mar-26,15.25,137.41,137.62,136.5,136.99,142.85525152466485,,137.6345095428065,142.85525152466485
20-Mar-26,09.15,138.74,141.81,138.74,141.09,142.8517245485916,137.3568810600682,,142.8517245485916
20-Mar-26,09.20,141.17,142.25,140.86,141.87,142.849763060982,138.51169295406137,,142.849763060982
20-Mar-26,09.25,141.9,142.32,141.69,141.84,142.84774555236865,139.07702365865524,,142.84774555236865
20-Mar-26,09.30,141.94,141.94,141.51,141.75,142.8455522545617,139.07702365865524,,142.8455522545617
20-Mar-26,09.35,141.61,141.79,140.94,141.0,142.84186483746967,139.07702365865524,,142.84186483746967
20-Mar-26,09.40,141.07,141.07,140.4,140.4,142.83698598664554,139.07702365865524,,142.83698598664554
20-Mar-26,09.45,140.38,140.52,140.21,140.36,142.8320369636952,139.07702365865524,,142.8320369636952
20-Mar-26,09.50,140.35,140.55,139.9,140.07,142.82651840832318,139.07702365865524,,142.82651840832318
20-Mar-26,09.55,140.0,140.88,139.9,140.8,142.82246942049437,139.07702365865524,,142.82246942049437
20-Mar-26,10.00,140.8,140.8,140.25,140.49,142.81780914193197,139.07702365865524,,142.81780914193197
20-Mar-26,10.05,140.49,140.61,140.2,140.5,142.81317815463538,139.07702365865524,,142.81317815463538
20-Mar-26,10.10,140.22,140.25,139.8,139.9,142.8073576188619,139.07702365865524,,142.8073576188619
20-Mar-26,10.15,139.9,139.96,139.8,139.84,142.8014288324106,139.07702365865524,,142.8014288324106
20-Mar-26,10.20,139.84,139.88,139.59,139.77,142.79537203154666,139.07702365865524,,142.79537203154666
20-Mar-26,10.25,139.78,140.34,139.78,140.31,142.79040625326186,139.07702365865524,,142.79040625326186
