Date,Time,Open,High,Low,Close,VWAP
29-Jan-26,14.15,14509,14539,14480,14496,15820.234526354914
29-Jan-26,15.15,14496,14508,14475,14484,15812.54402527231
30-Jan-26,09.15,14472,14679,14349,14425,15763.933963600952
30-Jan-26,10.15,14422,14426,14354,14363,15748.58694804268
30-Jan-26,11.15,14363,14412,14300,14409,15723.695274699783
30-Jan-26,12.15,14409,14499,14409,14457,15714.41043327577
30-Jan-26,13.15,14459,14630,14433,14595,15705.79067877246
30-Jan-26,14.15,14601,14650,14537,14586,15683.372686410405
30-Jan-26,15.15,14587,14635,14559,14580,15673.93925433821
01-Feb-26,09.15,14663,14767,14500,14725,15670.597638328152
01-Feb-26,10.15,14724,14796,14714,14765,15668.128032709572
01-Feb-26,11.15,14767,14795,14191,14543,15657.407624046667
01-Feb-26,12.15,14545,14558,14250,14347,15648.337766382154
01-Feb-26,13.15,14355,14411,14229,14270,15640.885748249118
01-Feb-26,14.15,14271,14331,14151,14160,15626.4610277658
01-Feb-26,15.15,14162,14194,14136,14180,15620.040359307472
02-Feb-26,09.15,14211,14283,14110,14178,15598.574356808447
02-Feb-26,10.15,14177,14221,14058,14086,15584.088327308686
02-Feb-26,11.15,14086,14265,14078,14265,15575.649162652371
02-Feb-26,12.15,14267,14285,14194,14246,15570.647531535416
02-Feb-26,13.15,14249,14253,14190,14212,15558.416993972316
02-Feb-26,14.15,14214,14380,14213,14379,15539.611406092856
02-Feb-26,15.15,14375,14446,14368,14378,15534.561330304869
03-Feb-26,09.15,15210,15281,14482,14550,15519.789117076498
03-Feb-26,10.15,14562,14684,14556,14664,15513.46791671269
03-Feb-26,11.15,14661,14875,14620,14870,15505.904395249068
03-Feb-26,12.15,14866,14889,14808,14837,15503.31649573573
03-Feb-26,13.15,14843,14898,14753,14756,15498.596550077566
03-Feb-26,14.15,14757,14814,14730,14784,15493.120197712336
03-Feb-26,15.15,14781,14797,14724,14768,15489.301237556523
04-Feb-26,09.15,14779,14999,14723,14978,15485.884881103892
04-Feb-26,10.15,14982,15123,14955,15015,15483.817870043378
04-Feb-26,11.15,15015,15073,14990,15068,15482.623823602433
04-Feb-26,12.15,15068,15098,14995,15083,15479.255253249868
04-Feb-26,13.15,15083,15142,15060,15134,15477.56748102344
04-Feb-26,14.15,15134,15170,15053,15085,15473.197131924708
04-Feb-26,15.15,15082,15090,15009,15009,15471.479125581744
05-Feb-26,09.15,15098,15130,14900,14943,15469.511466422864
05-Feb-26,10.15,14946,14995,14900,14986,15468.24469966951
05-Feb-26,11.15,14981,15022,14966,15007,15466.867413966518
05-Feb-26,12.15,15007,15120,15000,15107,15464.95664013706
05-Feb-26,13.15,15107,15150,15057,15067,15461.48545361853
05-Feb-26,14.15,15067,15100,15058,15073,15458.643062788127
05-Feb-26,15.15,15075,15076,15013,15049,15457.861193769162
06-Feb-26,09.15,14979,15044,14871,14989,15455.442318915912
06-Feb-26,10.15,14989,15077,14945,15077,15454.099548088378
06-Feb-26,11.15,15077,15118,15024,15032,15452.553044574735
06-Feb-26,12.15,15030,15030,14912,14945,15450.624779527028
06-Feb-26,13.15,14951,15010,14945,14964,15449.54151764402
06-Feb-26,14.15,14961,15016,14940,15012,15447.92706174874
06-Feb-26,15.15,15011,15012,14962,14980,15447.104846888646
09-Feb-26,09.15,15125,15126,14905,14951,15445.819979848193
09-Feb-26,10.15,14950,15069,14938,15022,15444.671795754128
09-Feb-26,11.15,15027,15037,15002,15032,15444.176562502238
09-Feb-26,12.15,15032,15038,14966,14985,15443.042712239656
09-Feb-26,13.15,14985,14988,14910,14929,15441.711986912522
09-Feb-26,14.15,14927,14984,14920,14973,15440.207932317411
09-Feb-26,15.15,14971,14987,14971,14980,15439.366664965755
10-Feb-26,09.15,15000,15215,14983,15194,15437.386383863635
10-Feb-26,10.15,15194,15252,15194,15238,15436.79618722046
10-Feb-26,11.15,15238,15349,15231,15287,15436.121651973488
10-Feb-26,12.15,15286,15299,15204,15221,15435.32087390423
10-Feb-26,13.15,15216,15230,15122,15172,15434.421642645504
10-Feb-26,14.15,15172,15217,15136,15148,15433.002791945206
10-Feb-26,15.15,15148,15153,15132,15136,15432.187602758602
