Date,Time,Open,High,Low,Close,EMA,Super Trend UP,Super Trend DN,EMA 100,EMA 200
23-Mar-26,13.39,131.33,131.4,131.29,131.36,132.91203939770173,,131.46919376955088,139.55910369710367,132.91203939770173
23-Mar-26,13.42,131.36,131.51,131.35,131.4,132.88209802348982,,131.46919376955088,139.54280179161495,132.88209802348982
23-Mar-26,13.45,131.48,131.48,131.3,131.47,132.854135686391,130.70735524476885,,139.52667231750584,132.854135686391
23-Mar-26,13.48,131.47,131.56,131.38,131.42,132.8257369599278,130.7820577482628,,139.5104751700183,132.8257369599278
23-Mar-26,13.51,131.45,131.54,131.45,131.49,132.79928672309757,130.8398519734365,,139.49445024460368,132.79928672309757
23-Mar-26,13.54,131.5,131.8,131.38,131.62,132.775934510759,130.87436677609284,,139.4787170772818,132.775934510759
23-Mar-26,13.57,131.63,131.74,131.5,131.6,132.75264867886276,130.90393009848356,,139.46297538481969,132.75264867886276
23-Mar-26,14.00,131.6,132.0,131.51,132.0,132.73774474462786,130.9635370886352,,139.4480643450898,132.73774474462786
23-Mar-26,14.03,131.93,132.04,131.77,131.97,132.7225418783976,131.11168337977168,,139.43312315758712,132.7225418783976
23-Mar-26,14.06,131.95,131.95,131.4,131.44,132.69714500951844,131.11168337977168,,139.417152881548,132.69714500951844
23-Mar-26,14.09,131.33,131.33,130.9,131.15,132.66650847467648,131.11168337977168,,139.40063509357287,132.66650847467648
23-Mar-26,14.12,131.15,131.19,130.85,130.98,132.63311226725713,,131.98463781614643,139.38381064783147,132.63311226725713
23-Mar-26,14.15,130.98,131.04,130.76,130.98,132.6003773708758,,131.85217403453177,139.36701981736627,132.6003773708758
23-Mar-26,14.18,130.98,131.46,130.98,131.46,132.57779564075946,,131.85217403453177,139.35122157597294,132.57779564075946
23-Mar-26,14.21,131.46,131.46,131.23,131.23,132.55110661817017,,131.85217403453177,139.33499535903792,132.55110661817017
23-Mar-26,14.24,131.23,131.31,130.72,130.86,132.51761935840443,,131.85217403453177,139.3180623013775,132.51761935840443
23-Mar-26,14.27,130.76,130.89,130.76,130.8,132.48360709388157,,131.8088873840563,139.30104319588025,132.48360709388157
23-Mar-26,14.30,130.9,130.9,130.11,130.4,132.44234754746807,,131.6274986456507,139.28325889379056,132.44234754746807
23-Mar-26,14.33,130.32,130.33,130.0,130.33,132.40051888316177,,131.29524878108563,139.26537026463214,132.40051888316177
23-Mar-26,14.36,130.39,130.6,130.3,130.47,132.36229078646548,,131.29524878108563,139.24779709727025,132.36229078646548
23-Mar-26,14.39,130.48,130.55,130.3,130.35,132.32244344415923,,131.29524878108563,139.2300192808921,132.32244344415923
23-Mar-26,14.42,130.35,130.72,130.15,130.24,132.2812069403145,,131.29524878108563,139.2120572044068,132.2812069403145
23-Mar-26,14.45,130.33,130.44,130.08,130.32,132.24237115931817,,131.29524878108563,139.19429085634604,132.24237115931817
23-Mar-26,14.48,130.31,130.35,130.15,130.31,132.2041063838861,,131.29524878108563,139.17654002546422,132.2041063838861
23-Mar-26,14.51,130.3,130.63,130.29,130.52,132.17075774262105,,131.29524878108563,139.15924424119757,132.17075774262105
23-Mar-26,14.54,130.43,130.47,130.0,130.06,132.12896055959885,,131.29524878108563,139.14106393302336,132.12896055959885
23-Mar-26,14.57,130.01,130.31,130.0,130.22,132.09115936039888,,131.25603242539984,139.12323962946087,132.09115936039888
23-Mar-26,15.00,130.25,130.7,130.15,130.43,132.0582651156385,,131.25603242539984,139.1058705193121,132.0582651156385
